home,away,predict_kp
Wisconsin,Michigan,-1
Maryland,Minnesota,1
Drake,Loyola Chicago,-6
Georgia Tech,Pittsburgh,5
Seton Hall,Marquette,8
Cincinnati,UCF,3
Arizona St.,Oregon St.,6
Oral Roberts,South Dakota St.,-1
Missouri St.,Bradley,4
Army,Colgate,-4
Notre Dame,Miami FL,9
James Madison,Hofstra,1
South Florida,Tulane,5
Evansville,Indiana St.,-4
Penn St.,Nebraska,12
Southern Illinois,Illinois St.,1
Northern Iowa,Valparaiso,4
Loyola MD,Lafayette,2
Cal Baptist,Sacramento St.,2
Morgan St.,Norfolk St.,2
Hartford,NJIT,2
Towson,Northeastern,-6
North Dakota,South Dakota,-6
Charleston,Elon,6
Boston University,Holy Cross,6
Vermont,Stony Brook,12
Saint Peter's,Fairfield,11
