home,away,predict_kp
Maryland,Ohio St.,-3
Kansas,Oklahoma St.,4
BYU,Gonzaga,-10
East Carolina,SMU,-5
Furman,UNC Greensboro,3
Minnesota,Nebraska,11
North Carolina,Miami FL,11
Colorado,Oregon St.,13
Stony Brook,UMBC,-2
Lafayette,Loyola MD,4
Hampton,High Point,-1
Florida A&M,North Carolina Central,1
Southern,Jackson St.,3
LIU,St. Francis NY,5
Alcorn St.,Grambling St.,-1
SIU Edwardsville,Eastern Kentucky,-6
USC Upstate,Gardner Webb,-5
Fairfield,Quinnipiac,-3
Mercer,Samford,8
Norfolk St.,Coppin St.,8
Tennessee Martin,Austin Peay,-10
Alabama A&M,Arkansas Pine Bluff,8
UNLV,Air Force,12
Texas A&M Corpus Chris,Abilene Christian,-15
Alabama St.,Mississippi Valley St.,15
San Diego St.,San Jose St.,25
