home,away,predict_kp
Indiana,Purdue,3
Utah St.,San Diego St.,1
Utah,Stanford,-2
Saint Mary's,BYU,1
Oregon St.,Arizona,-7
Temple,UCF,-3
Pacific,Santa Clara,1
UCLA,Washington St.,12
Eastern Washington,Southern Utah,6
St. Francis PA,Bryant,-3
Radford,Gardner Webb,1
Samford,UNC Greensboro,-6
Wagner,LIU,2
FIU,Florida Atlantic,6
Sacred Heart,Central Connecticut,3
USC,Washington,15
USC Upstate,Hampton,4
Colorado,California,15
Eastern Illinois,Morehead St.,6
Mount St. Mary's,Merrimack,4
Jacksonville St.,Tennessee St.,6
Idaho,Northern Colorado,-7
Montana St.,Portland St.,9
Gonzaga,Pepperdine,25
Portland,San Francisco,-12
UNC Asheville,Charleston Southern,9
Campbell,Presbyterian,9
Tennessee Tech,Belmont,-13
Montana,Northern Arizona,12
San Jose St.,Colorado St.,-16
Winthrop,Longwood,15
