home,away,predict_kp
Minnesota,Purdue,1
Stanford,Colorado,-2
Arizona St.,Oregon,-3
Washington St.,UCLA,-5
California,Utah,-5
Temple,East Carolina,2
Radford,Winthrop,-2
Montana St.,Eastern Washington,-3
Montana,Weber St.,1
Arizona,Oregon St.,10
UT Arlington,Texas St.,-2
Washington,USC,-13
Boise St.,UNLV,11
Longwood,Gardner Webb,-1
Kansas,Iowa St.,13
Wagner,Fairleigh Dickinson,3
Mount St. Mary's,LIU,4
Belmont,Eastern Kentucky,11
St. Francis PA,St. Francis NY,3
Tennessee Tech,SIU Edwardsville,1
Central Connecticut,Merrimack,-1
Air Force,Fresno St.,-5
Campbell,USC Upstate,5
South Alabama,Troy,6
Hampton,Presbyterian,5
Tennessee St.,Morehead St.,-8
Georgia St.,Georgia Southern,10
Jacksonville St.,Eastern Illinois,9
High Point,Charleston Southern,8
Louisiana,Louisiana Monroe,10
Murray St.,Southeast Missouri St.,11
Idaho St.,Idaho,10
Austin Peay,Tennessee Martin,13
Pacific,Portland,15
