home,away,predict_kp
Texas,Baylor,-5
Indiana,Illinois,-2
Stanford,USC,-1
Maryland,Purdue,-1
Clemson,North Carolina,-1
Wisconsin,Penn St.,6
Mississippi,Tennessee,-5
Arkansas,Mississippi St.,6
Duquesne,Dayton,-1
Iowa,Michigan St.,11
Auburn,Georgia,8
Marquette,Butler,5
Toledo,Akron,7
Notre Dame,Wake Forest,7
Iowa St.,West Virginia,-10
Ball St.,Buffalo,-2
Nevada,UNLV,5
Jacksonville St.,Eastern Kentucky,-1
Kent St.,Miami OH,7
NJIT,UMBC,-1
San Diego,BYU,-10
Central Michigan,Ohio,-7
Coppin St.,Morgan St.,-2
SIU Edwardsville,Eastern Illinois,3
Kansas,Kansas St.,18
North Carolina Central,South Carolina St.,15
