home,away,predict_kp
Villanova,Creighton,3
Seton Hall,Connecticut,1
Oregon,UCLA,2
Syracuse,Clemson,1
Northwestern,Maryland,-3
Penn St.,Minnesota,3
Florida,Missouri,5
St. John's,Providence,2
Notre Dame,N.C. State,3
USC,Stanford,9
Utah,Oregon St.,4
Texas A&M,Mississippi St.,-3
Tulane,Wichita St.,-4
Stephen F. Austin,Abilene Christian,-3
La Salle,Saint Joseph's,-1
UNLV,San Diego St.,-11
Florida St.,Boston College,16
Central Arkansas,Southeastern Louisiana,2
North Carolina Central,Florida A&M,1
New Orleans,Northwestern St.,4
George Washington,Fordham,5
Houston Baptist,Incarnate Word,2
Wagner,Merrimack,6
Morehead St.,Southeast Missouri St.,9
Boston University,Lehigh,7
Eastern Washington,Idaho St.,14
North Carolina A&T,South Carolina St.,12
Belmont,SIU Edwardsville,17
Colorado St.,New Mexico,20
Sam Houston St.,Texas A&M Corpus Chris,16
