home,away,predict_kp
Michigan,Wisconsin,1
Oklahoma St.,Kansas,-1
Virginia Tech,Duke,1
Kentucky,Alabama,1
North Carolina,Syracuse,3
Florida,Mississippi,4
Marquette,Providence,3
Boston College,Miami FL,-2
St. John's,Butler,2
Oklahoma,TCU,7
Vanderbilt,Tennessee,-12
Bowling Green,Ball St.,7
Central Michigan,Kent St.,-5
Ohio,Miami OH,7
Western Michigan,Buffalo,-9
Toledo,Eastern Michigan,11
Davidson,Saint Joseph's,11
Mississippi Valley St.,Alabama St.,-5
Northern Illinois,Akron,-8
Grambling St.,Alcorn St.,7
USC,UC Riverside,17
