home,away,predict_kp
LSU,Alabama,1
Florida,Tennessee,-3
Ohio St.,Purdue,4
Pittsburgh,Duke,-3
Mississippi St.,Mississippi,1
Missouri,South Carolina,5
Illinois,Penn St.,8
Michigan,Maryland,9
Villanova,Seton Hall,9
Syracuse,Miami FL,6
Utah St.,Colorado St.,6
DePaul,Butler,2
Kent St.,Buffalo,2
Bowling Green,Akron,5
Oregon St.,USC,-11
Miami OH,Ball St.,-3
Towson,UNC Wilmington,-1
Gardner Webb,UNC Asheville,3
Campbell,Radford,1
Loyola Marymount,San Diego,7
Longwood,High Point,1
Charleston Southern,USC Upstate,-1
Oklahoma,Kansas St.,14
Tennessee St.,Southeast Missouri St.,4
Northern Illinois,Ohio,-9
Toledo,Central Michigan,15
Presbyterian,Winthrop,-17
