home,away,predict_kp
Wisconsin,Illinois,-1
North Carolina,Florida St.,-2
Texas Tech,Texas,2
Kansas,Baylor,-6
Arkansas,LSU,4
Kentucky,Florida,-1
Xavier,Creighton,-4
Indiana,Michigan,-7
Auburn,Tennessee,-4
Oklahoma,Oklahoma St.,3
Duke,Louisville,4
Colorado,UCLA,5
Mississippi St.,Alabama,-6
Davidson,VCU,-1
Georgia Tech,Syracuse,5
Marshall,North Texas,1
Utah,USC,-7
San Diego St.,Boise St.,6
Ohio,Buffalo,1
Vanderbilt,Mississippi,-3
Nebraska,Minnesota,-4
Connecticut,Marquette,7
Boston College,Notre Dame,-4
UC Riverside,UC Santa Barbara,-2
Georgia,South Carolina,5
Arizona St.,Washington St.,3
Wofford,Furman,-1
Duquesne,Rhode Island,-1
BYU,Saint Mary's,8
DePaul,Georgetown,-1
Pacific,San Francisco,1
Morehead St.,Belmont,-3
Miami OH,Kent St.,-2
East Tennessee St.,UNC Greensboro,1
Bradley,Drake,-7
Stanford,Oregon St.,7
Iowa St.,TCU,-1
Bellarmine,Liberty,-3
UCF,Temple,5
UTSA,UAB,-4
California,Oregon,-8
San Diego,Pepperdine,-4
South Dakota,North Dakota St.,2
South Alabama,Georgia St.,-2
Illinois St.,Northern Iowa,1
Valparaiso,Indiana St.,-4
George Mason,La Salle,5
Loyola MD,Navy,-3
Evansville,Missouri St.,-7
Little Rock,Louisiana,-1
Virginia Tech,Wake Forest,10
Utah Valley,UT Rio Grande Valley,2
Southern Miss,Florida Atlantic,-1
UMass Lowell,Stony Brook,-1
Seattle,Grand Canyon,-5
Jacksonville St.,Austin Peay,5
Western Carolina,Mercer,-7
UT Arlington,Arkansas St.,2
Georgia Southern,Appalachian St.,-1
UNC Wilmington,Elon,4
Northern Colorado,Portland St.,2
UTEP,Charlotte,6
New Orleans,Nicholls St.,-4
McNeese St.,Houston Baptist,1
Sacramento St.,Weber St.,-7
Bucknell,American,4
Albany,NJIT,2
North Alabama,Lipscomb,-3
SIU Edwardsville,Southeast Missouri St.,-1
Idaho St.,Montana,-3
Stetson,North Florida,4
Clemson,Miami FL,13
Denver,Nebraska Omaha,-2
Gonzaga,Loyola Marymount,24
Northwestern St.,Southeastern Louisiana,3
Hampton,Presbyterian,2
Louisiana Tech,Rice,12
Kennesaw St.,Florida Gulf Coast,-3
North Carolina A&T,North Carolina Central,4
Troy,Coastal Carolina,-7
Hawaii,Long Beach St.,7
Eastern Michigan,Northern Illinois,4
High Point,USC Upstate,5
South Dakota St.,UMKC,10
Army,Boston University,7
Delaware St.,Coppin St.,-7
Tarleton St.,New Mexico St.,-8
Arizona,Washington,15
Tennessee Tech,Murray St.,-8
Lafayette,Lehigh,8
Southern,Alcorn St.,7
Old Dominion,Middle Tennessee,10
Lamar,Stephen F. Austin,-10
UC Irvine,UC San Diego,12
West Virginia,Kansas St.,18
Hartford,Binghamton,8
Alabama A&M,Prairie View A&M,-7
Cal Poly,UC Davis,-7
Oral Roberts,Western Illinois,11
Ball St.,Central Michigan,11
Texas St.,Louisiana Monroe,9
Eastern Illinois,Tennessee Martin,9
Siena,Manhattan,10
Cal St. Bakersfield,Cal St. Northridge,12
South Carolina St.,Florida A&M,-10
Alabama St.,Texas Southern,-11
Saint Peter's,Rider,11
Loyola Chicago,Southern Illinois,20
Eastern Kentucky,Tennessee St.,13
Toledo,Western Michigan,18
Central Arkansas,Abilene Christian,-17
Colorado St.,Air Force,20
Mississippi Valley St.,Jackson St.,-21
