home,away,predict_kp
Purdue,Penn St.,4
Northwestern,Iowa,-8
Tulsa,Memphis,1
Marshall,Western Kentucky,4
Wake Forest,Virginia Tech,-8
San Diego,Santa Clara,-2
Houston,UCF,13
Charleston,Northeastern,-2
Iona,Saint Peter's,-1
Loyola MD,Lafayette,-1
George Washington,Dayton,-8
Loyola Chicago,Northern Iowa,11
Delaware,Hofstra,-1
Nevada,Fresno St.,8
Illinois St.,Indiana St.,-5
Boston University,Army,-1
Albany,NJIT,1
Fordham,Massachusetts,-7
Stony Brook,New Hampshire,1
UMBC,Hartford,4
Idaho St.,Sacramento St.,-1
Cal St. Fullerton,Cal St. Northridge,-1
Lehigh,Bucknell,1
Navy,American,6
Binghamton,UMass Lowell,-7
Morgan St.,Coppin St.,9
Bradley,Evansville,11
Weber St.,Tarleton St.,8
Drexel,William & Mary,10
Delaware St.,Norfolk St.,-10
Vermont,Maine,17
Colgate,Holy Cross,20
