home,away,predict_kp
Illinois,Wisconsin,4
Missouri,Alabama,-3
Oklahoma St.,Texas,-2
West Virginia,Kansas,2
Kentucky,Tennessee,-3
USC,UCLA,4
Duke,North Carolina,4
Connecticut,Seton Hall,3
Saint Louis,St. Bonaventure,2
Colorado,Arizona,6
Clemson,Syracuse,2
Marquette,Creighton,-5
Georgia Tech,Notre Dame,3
Auburn,Mississippi,4
Providence,St. John's,1
South Carolina,Mississippi St.,2
Boston College,N.C. State,-1
Purdue,Northwestern,8
Miami FL,Virginia Tech,-6
North Texas,Louisiana Tech,3
Butler,DePaul,3
Old Dominion,Marshall,-4
Tulsa,UCF,5
Oregon St.,Washington St.,2
Virginia,Pittsburgh,10
Rhode Island,Massachusetts,7
Northern Iowa,Indiana St.,1
Georgia,Vanderbilt,6
Furman,Wofford,6
Michigan St.,Nebraska,8
Eastern Kentucky,Murray St.,1
South Dakota St.,South Dakota,6
Hofstra,Drexel,2
Ball St.,Toledo,-9
South Alabama,Coastal Carolina,-1
Oakland,Cleveland St.,-2
Wyoming,Colorado St.,-9
Buffalo,Miami OH,7
UC Irvine,Cal St. Bakersfield,6
FIU,UTSA,1
Texas St.,Little Rock,3
Sam Houston St.,Nicholls St.,2
Weber St.,Montana St.,4
North Dakota St.,Oral Roberts,5
Illinois St.,Missouri St.,-5
The Citadel,Western Carolina,-1
Memphis,East Carolina,11
Arkansas St.,Louisiana,-3
Morehead St.,Austin Peay,5
East Tennessee St.,Chattanooga,6
Milwaukee,Northern Kentucky,1
Elon,UNC Wilmington,-1
Stetson,Lipscomb,3
Texas Southern,UT Rio Grande Valley,2
Cal St. Northridge,UC Davis,-2
Robert Morris,Youngstown St.,1
Fresno St.,Utah St.,-10
UAB,UTEP,8
New Hampshire,UMass Lowell,-1
Fordham,La Salle,-4
Southeast Missouri St.,Jacksonville St.,-3
Portland St.,Montana,-4
Oklahoma,Iowa St.,14
Central Michigan,Western Michigan,3
Middle Tennessee,Charlotte,-4
Green Bay,IUPUI,3
Florida Gulf Coast,North Alabama,3
Dixie St.,Seattle,-1
Nebraska Omaha,Western Illinois,3
Bradley,Southern Illinois,7
Denver,North Dakota,-2
Troy,Georgia Southern,3
Charleston,Towson,5
Texas A&M Corpus Chris,Incarnate Word,2
Eastern Illinois,Tennessee St.,2
Tennessee Martin,Tennessee Tech,-2
Alcorn St.,Jackson St.,-3
Manhattan,Monmouth,-7
Kansas St.,Texas Tech,-15
Rice,Southern Miss,7
Valparaiso,Drake,-12
Oregon,Washington,14
Detroit,Purdue Fort Wayne,7
Alabama St.,Arkansas Pine Bluff,3
New Mexico St.,Cal Baptist,9
Southern,Grambling St.,6
Illinois Chicago,Wright St.,-13
Central Arkansas,McNeese St.,7
UT Arlington,Louisiana Monroe,7
Bellarmine,Jacksonville,8
SIU Edwardsville,Belmont,-12
Portland,Pepperdine,-11
Colgate,Boston University,13
UNLV,Air Force,12
Lamar,Abilene Christian,-14
North Carolina A&T,South Carolina St.,13
Hawaii,Cal Poly,13
Loyola Chicago,Evansville,20
Eastern Washington,Idaho,21
Alabama A&M,Mississippi Valley St.,20
