home,away,predict_kp
Michigan,Iowa,3
Colorado,USC,1
Michigan St.,Ohio St.,-7
Stanford,Oregon,1
Utah,UCLA,-1
San Diego St.,Boise St.,7
Minnesota,Northwestern,5
Pepperdine,Loyola Marymount,3
Arizona,Washington St.,8
California,Oregon St.,-2
Saint Mary's,Pacific,6
Eastern Kentucky,Belmont,-7
Jacksonville St.,Murray St.,1
Houston,Western Kentucky,14
BYU,San Francisco,11
Western Michigan,Miami OH,-5
Milwaukee,IUPUI,4
Northern Colorado,Portland St.,3
Arizona St.,Washington,9
Sacramento St.,Weber St.,-6
Sacred Heart,Fairleigh Dickinson,3
Idaho St.,Montana,-3
Illinois,Nebraska,17
Eastern Illinois,Southeast Missouri St.,2
St. Francis PA,Mount St. Mary's,-1
Youngstown St.,Illinois Chicago,4
Green Bay,Purdue Fort Wayne,5
Merrimack,St. Francis NY,4
Tennessee Tech,Austin Peay,-6
Bryant,LIU,9
Central Connecticut,Wagner,-7
SIU Edwardsville,Tennessee Martin,7
Detroit,Robert Morris,11
Gonzaga,Santa Clara,31
South Carolina St.,Florida A&M,-10
Ohio,Eastern Michigan,14
San Diego,Portland,12
Buffalo,Central Michigan,18
Morehead St.,Tennessee St.,14
Texas Southern,Arkansas Pine Bluff,14
Prairie View A&M,Mississippi Valley St.,28
