home,away,predict_kp
Seton Hall,Creighton,-2
Maryland,Wisconsin,-2
Clemson,Louisville,1
Arkansas,Mississippi,3
Notre Dame,Virginia Tech,-1
Colorado St.,Boise St.,-1
Ohio St.,Penn St.,7
Providence,Marquette,3
DePaul,St. John's,1
South Carolina,Georgia,3
Missouri St.,Drake,-5
UNLV,Utah St.,-5
Pepperdine,BYU,-7
Kent St.,Bowling Green,5
N.C. State,Wake Forest,7
La Salle,Rhode Island,-8
UNC Greensboro,Mercer,5
UCF,East Carolina,6
Abilene Christian,Stephen F. Austin,5
Florida St.,Miami FL,13
VMI,Western Carolina,2
James Madison,Towson,3
Northwestern St.,New Orleans,1
Southeastern Louisiana,Central Arkansas,-3
Fordham,Duquesne,-7
St. Francis PA,Fairleigh Dickinson,4
Colorado,Washington St.,15
Florida,Vanderbilt,15
Incarnate Word,Houston Baptist,4
LIU,Merrimack,6
The Citadel,Wofford,-10
Texas A&M Corpus Chris,Sam Houston St.,-7
Baylor,Kansas St.,25
Nicholls St.,McNeese St.,14
