home,away,predict_kp
Oklahoma,Alabama,-1
LSU,Texas Tech,-1
Tennessee,Kansas,2
Penn St.,Wisconsin,-2
Seton Hall,Villanova,-4
Virginia Tech,Virginia,-3
Oklahoma St.,Arkansas,2
West Virginia,Florida,4
Georgia Tech,Florida St.,-3
Purdue,Minnesota,2
Duke,Clemson,4
Arizona St.,Stanford,-3
Dayton,Rhode Island,1
Butler,Xavier,-2
Georgia,Mississippi,-3
Pittsburgh,Notre Dame,4
Georgetown,Providence,-3
Bowling Green,Toledo,-4
DePaul,Creighton,-10
Wichita St.,UCF,5
Colorado,Utah,9
Vanderbilt,South Carolina,-5
Wake Forest,Miami FL,2
Mississippi St.,Iowa St.,6
Murray St.,Belmont,-3
East Carolina,Tulsa,-2
Grand Canyon,New Mexico St.,2
Missouri,TCU,9
Baylor,Auburn,16
Akron,Ball St.,4
Kansas St.,Texas A&M,-2
Wofford,Mercer,4
San Diego,Loyola Marymount,-3
Southern Illinois,Northern Iowa,-2
UNC Wilmington,Hofstra,1
Texas St.,Louisiana,3
Hawaii,UC Irvine,-5
BYU,Pacific,10
UCLA,Oregon St.,11
UTEP,UTSA,4
Youngstown St.,Detroit,-1
Niagara,Monmouth,-3
Purdue Fort Wayne,Oakland,1
UMKC,North Dakota St.,-2
Pepperdine,Gonzaga,-21
American,Lafayette,1
UC Davis,UC Santa Barbara,-8
Arkansas St.,UT Arlington,-1
St. Francis NY,LIU,1
Western Carolina,Furman,-8
North Florida,North Alabama,-1
IUPUI,Milwaukee,-1
Delaware,Elon,2
Northern Kentucky,Illinois Chicago,2
St. Bonaventure,George Mason,11
Stony Brook,Hartford,1
Florida Gulf Coast,Stetson,1
Arizona,California,13
Troy,Appalachian St.,-3
Coppin St.,Morgan St.,-1
Georgia Southern,Coastal Carolina,-5
Lehigh,Bucknell,-1
UNC Greensboro,VMI,8
North Carolina A&T,Florida A&M,1
Marist,Siena,-5
Southeast Missouri St.,Eastern Illinois,1
Charlotte,FIU,5
Southeastern Louisiana,New Orleans,1
Fairleigh Dickinson,Bryant,-6
San Jose St.,Air Force,-1
Central Arkansas,Northwestern St.,3
Cal Poly,Cal St. Northridge,-1
Canisius,Quinnipiac,5
Texas A&M Corpus Chris,Houston Baptist,2
Towson,William & Mary,4
Alcorn St.,Southern,-3
Cleveland St.,Green Bay,7
Tennessee Martin,SIU Edwardsville,-3
Navy,Loyola MD,7
Wagner,Merrimack,4
Duquesne,Saint Joseph's,10
North Dakota,Western Illinois,4
Lamar,McNeese St.,4
Presbyterian,Longwood,-4
Tennessee Tech,Morehead St.,-6
Fresno St.,New Mexico,7
VCU,La Salle,13
Gardner Webb,High Point,7
Binghamton,New Hampshire,-6
Mount St. Mary's,Sacred Heart,6
Austin Peay,Tennessee St.,8
Jacksonville,Liberty,-10
St. Francis PA,Central Connecticut,8
Miami OH,Western Michigan,9
Cal Baptist,Dixie St.,9
Prairie View A&M,Alabama A&M,7
Utah Valley,Tarleton St.,8
South Dakota,Nebraska Omaha,10
Campbell,Charleston Southern,8
Cal St. Bakersfield,Cal St. Fullerton,10
East Tennessee St.,The Citadel,11
Kent St.,Central Michigan,13
Little Rock,Louisiana Monroe,10
San Diego St.,Wyoming,18
Kennesaw St.,Bellarmine,-9
Saint Peter's,Manhattan,10
Louisiana Tech,Southern Miss,12
Grambling St.,Arkansas Pine Bluff,11
Wright St.,Robert Morris,16
Idaho,Weber St.,-12
Holy Cross,Colgate,-15
Incarnate Word,Abilene Christian,-14
Norfolk St.,Delaware St.,13
Texas Southern,Alabama St.,14
Jackson St.,Mississippi Valley St.,23
