home,away,predict_kp
Ohio St.,Iowa,2
Maryland,Michigan St.,5
Cincinnati,Memphis,-4
N.C. State,Pittsburgh,4
Utah St.,Nevada,7
Butler,Villanova,-10
South Dakota,North Dakota St.,2
New Hampshire,UMass Lowell,1
Hartford,Albany,3
American,Bucknell,2
Marist,Quinnipiac,2
Lehigh,Lafayette,-4
Navy,Loyola MD,7
Army,Boston University,6
UTEP,Charlotte,7
Houston,South Florida,18
Delaware St.,Coppin St.,-8
Oral Roberts,Western Illinois,10
South Carolina St.,Florida A&M,-8
Idaho,Montana St.,-11
Western Kentucky,FIU,17
