home,away,predict_kp
Boise St.,Utah St.,2
Buffalo,Toledo,-1
Dayton,Saint Louis,-3
Ball St.,Akron,-3
North Dakota St.,South Dakota St.,-1
UMBC,Vermont,-2
UC Santa Barbara,Cal St. Bakersfield,7
Iona,Monmouth,-2
UAB,Old Dominion,7
Milwaukee,Oakland,2
Appalachian St.,South Alabama,3
UC San Diego,UC Riverside,-6
Northern Kentucky,Wright St.,-11
Illinois Chicago,Green Bay,2
Youngstown St.,IUPUI,3
FIU,Southern Miss,1
Cal St. Northridge,Hawaii,-4
Nebraska Omaha,North Dakota,2
Dixie St.,Tarleton St.,1
New Mexico,Wyoming,-5
Hampton,Campbell,-3
Purdue Fort Wayne,Cleveland St.,-6
New Mexico St.,Utah Valley,7
Cal St. Fullerton,UC Irvine,-9
High Point,Winthrop,-9
Fairfield,Canisius,-6
Charleston Southern,Longwood,-5
Stetson,Jacksonville,6
San Jose St.,UNLV,-9
Saint Peter's,Marist,7
Detroit,Robert Morris,9
Grand Canyon,Cal Baptist,10
Georgia St.,Troy,11
Long Beach St.,Cal Poly,10
UMKC,Denver,11
Lipscomb,Kennesaw St.,13
