home,away,predict_kp
Rutgers,Michigan St.,3
Arizona,Stanford,4
SMU,Memphis,2
Kansas,TCU,12
Rice,North Texas,-5
UTSA,UTEP,1
Arizona St.,California,9
Valparaiso,Bradley,-4
Austin Peay,Belmont,-6
Jacksonville St.,Morehead St.,2
USC,Oregon St.,13
San Jose St.,Air Force,-1
Southeast Missouri St.,SIU Edwardsville,1
Southern Miss,Louisiana Tech,-8
Northern Arizona,Northern Colorado,-3
Eastern Washington,Sacramento St.,8
Middle Tennessee,UAB,-9
Tennessee Martin,Eastern Illinois,-6
Fresno St.,New Mexico,7
Tulane,Houston,-17
San Diego,Gonzaga,-25
Winthrop,UNC Asheville,12
San Diego St.,Wyoming,16
Murray St.,Tennessee St.,11
Idaho,Weber St.,-10
Saint Mary's,Portland,18
