home,away,predict_kp
Penn St.,Maryland,3
Nevada,Boise St.,-3
Kent St.,Akron,2
North Texas,Louisiana Tech,5
Old Dominion,Marshall,-4
Florida Atlantic,Western Kentucky,-6
UC Irvine,Cal St. Bakersfield,5
South Alabama,Coastal Carolina,-2
Texas St.,Little Rock,3
South Dakota St.,South Dakota,7
Oakland,Cleveland St.,-1
North Dakota St.,Oral Roberts,4
Dayton,George Mason,8
FIU,UTSA,1
Stetson,Lipscomb,2
UAB,UTEP,8
Arkansas St.,Louisiana,-4
Cal St. Northridge,UC Davis,-3
Robert Morris,Youngstown St.,1
New Hampshire,UMass Lowell,-1
Milwaukee,Northern Kentucky,3
Florida Gulf Coast,North Alabama,1
St. Francis NY,Wagner,1
Middle Tennessee,Charlotte,-4
LIU,Fairleigh Dickinson,4
Dixie St.,Seattle,-2
Rice,Southern Miss,5
Merrimack,St. Francis PA,2
Denver,North Dakota,-1
Troy,Georgia Southern,3
Green Bay,IUPUI,5
Detroit,Purdue Fort Wayne,7
Nebraska Omaha,Western Illinois,5
Manhattan,Monmouth,-6
Illinois Chicago,Wright St.,-11
Bellarmine,Jacksonville,7
UT Arlington,Louisiana Monroe,9
Radford,USC Upstate,8
New Mexico St.,Cal Baptist,11
Gardner Webb,Presbyterian,10
Hawaii,Cal Poly,12
