home,away,predict_kp
Wisconsin,Iowa,-1
Penn St.,Ohio St.,-5
Oregon,Colorado,-1
UCLA,Arizona,2
Michigan,Rutgers,8
Wichita St.,Houston,-8
Oregon St.,Utah,-3
Pacific,BYU,-6
San Francisco,Loyola Marymount,4
UMBC,Vermont,-2
Washington St.,California,4
Washington,Stanford,-8
Radford,Gardner Webb,2
Eastern Washington,Montana,7
Gonzaga,Saint Mary's,20
Santa Clara,San Diego,6
Southern Utah,Sacramento St.,5
Belmont,Jacksonville St.,11
Elon,William & Mary,2
Hampton,Campbell,-2
Bradley,Illinois St.,7
Fresno St.,San Diego St.,-13
Tennessee St.,Tennessee Tech,2
Presbyterian,USC Upstate,3
High Point,Winthrop,-9
Charleston Southern,Longwood,-5
Austin Peay,SIU Edwardsville,9
Weber St.,Northern Arizona,12
Tennessee Martin,Eastern Kentucky,-13
Murray St.,Eastern Illinois,14
Portland St.,Idaho,13
