home,away,predict_kp
Iowa,Ohio St.,4
Rutgers,Minnesota,4
Utah,Arizona,-3
Temple,Cincinnati,-4
California,Stanford,-7
Oregon St.,Washington,4
Morehead St.,Murray St.,1
Weber St.,Montana St.,3
Wyoming,Colorado St.,-9
Oregon,Washington St.,12
Fresno St.,Utah St.,-9
Pacific,Gonzaga,-20
Eastern Kentucky,Austin Peay,6
Portland St.,Montana,-4
St. Francis NY,Wagner,1
Bryant,Mount St. Mary's,5
Merrimack,St. Francis PA,1
LIU,Fairleigh Dickinson,6
SIU Edwardsville,Tennessee St.,2
Southeast Missouri St.,Tennessee Tech,4
Radford,USC Upstate,8
Tennessee Martin,Jacksonville St.,-9
Eastern Illinois,Belmont,-12
Gardner Webb,Presbyterian,10
Portland,BYU,-18
Idaho,Eastern Washington,-16
