home,away,predict_kp
Northwestern,Rutgers,-2
Syracuse,N.C. State,5
Marquette,St. John's,4
Ohio St.,Michigan St.,9
Houston,SMU,10
Missouri St.,Loyola Chicago,-8
Nevada,UNLV,2
Indiana St.,Bradley,1
Washington,Washington St.,3
James Madison,Drexel,-1
Southern Illinois,Northern Iowa,-2
UNC Wilmington,Hofstra,-1
Stephen F. Austin,Sam Houston St.,4
NJIT,UMBC,-2
Loyola MD,Navy,-4
Stony Brook,Hartford,1
Evansville,Valparaiso,-2
Marist,Siena,-5
Coppin St.,Morgan St.,-2
Fairleigh Dickinson,Bryant,-5
Towson,William & Mary,2
North Carolina A&T,Florida A&M,2
Delaware,Elon,5
Temple,Tulane,7
Canisius,Quinnipiac,4
North Texas,Rice,9
Binghamton,New Hampshire,-3
Eastern Washington,Sacramento St.,8
UC Riverside,UC San Diego,8
Mount St. Mary's,Sacred Heart,5
Bucknell,Lehigh,6
St. Francis PA,Central Connecticut,7
Drake,Illinois St.,18
UAB,Middle Tennessee,15
Holy Cross,Colgate,-15
