home,away,predict_kp
Georgia Tech,Virginia,-4
Iowa,Rutgers,7
Mississippi St.,LSU,1
Mississippi,Missouri,-1
Northwestern,Indiana,-2
Providence,Connecticut,-2
Saint Louis,Rhode Island,5
UCF,Wichita St.,1
UNC Greensboro,Furman,1
South Florida,Houston,-10
Boston College,Wake Forest,3
Villanova,Marquette,11
San Francisco,Pepperdine,6
Nebraska,Wisconsin,-11
Tennessee,Georgia,12
Valparaiso,Bradley,-3
Charlotte,Old Dominion,1
Wofford,Chattanooga,6
Western Carolina,VMI,-2
Samford,Mercer,-4
Arkansas St.,Little Rock,-2
Drake,Northern Iowa,11
Missouri St.,Southern Illinois,7
Tulsa,Tulane,8
The Citadel,East Tennessee St.,-7
Incarnate Word,Northwestern St.,1
Lamar,Nicholls St.,-7
George Mason,Fordham,8
Sam Houston St.,Southeastern Louisiana,11
Stephen F. Austin,Texas A&M Corpus Chris,15
Abilene Christian,Houston Baptist,19
San Diego St.,San Jose St.,26
