home,away,predict_kp
Indiana,Rutgers,5
Massachusetts,Davidson,-1
Miami FL,Notre Dame,2
Bradley,Loyola Chicago,-7
Washington,Utah,-4
East Carolina,Memphis,-5
Wyoming,Nevada,-4
Navy,Army,4
Illinois St.,Valparaiso,1
UNC Asheville,Radford,1
Loyola MD,American,2
New Hampshire,Albany,3
Coppin St.,Norfolk St.,-3
Holy Cross,Lehigh,-1
UNC Wilmington,Delaware,5
NJIT,Stony Brook,4
Hofstra,Towson,6
Lafayette,Boston University,6
Oral Roberts,UMKC,6
Northeastern,James Madison,8
Middle Tennessee,Western Kentucky,-11
High Point,Presbyterian,7
Air Force,San Diego St.,-15
Morgan St.,Delaware St.,12
Gardner Webb,Charleston Southern,13
Rhode Island,Fordham,17
