home,away,predict_kp
Purdue,Michigan,-3
Ohio,Ball St.,3
UTEP,Louisiana Tech,-3
UC Riverside,Cal St. Bakersfield,3
Wyoming,Nevada,-4
UT Arlington,Little Rock,-1
Appalachian St.,Georgia St.,-4
Florida Atlantic,Charlotte,1
Siena,Saint Peter's,5
UC San Diego,UC Davis,-1
FIU,Marshall,-8
Oakland,Detroit,1
Green Bay,Purdue Fort Wayne,-2
Youngstown St.,Illinois Chicago,1
Bellarmine,Stetson,2
Robert Morris,Northern Kentucky,2
Cal St. Fullerton,Hawaii,-3
Quinnipiac,Niagara,1
Cleveland St.,Milwaukee,5
UTSA,Southern Miss,5
Rider,Marist,1
Merrimack,Fairleigh Dickinson,1
Sacred Heart,St. Francis PA,-3
South Alabama,Georgia Southern,5
Cal St. Northridge,UC Santa Barbara,-9
Lipscomb,Florida Gulf Coast,5
North Alabama,Jacksonville,5
UAB,Rice,10
Manhattan,Monmouth,-7
Louisiana Monroe,Texas St.,-7
Central Connecticut,Mount St. Mary's,-5
IUPUI,Wright St.,-11
Western Illinois,South Dakota,-8
Boise St.,Fresno St.,14
Louisiana,Arkansas St.,10
Dixie St.,Grand Canyon,-9
Coastal Carolina,Troy,10
Air Force,San Diego St.,-14
North Florida,Kennesaw St.,9
South Dakota St.,North Dakota,15
North Dakota St.,Denver,14
UC Irvine,Cal Poly,18
