home,away,predict_kp
Indiana,Minnesota,3
Boise St.,Utah St.,1
VCU,Richmond,3
Louisville,Syracuse,4
Pittsburgh,N.C. State,3
Wake Forest,Duke,-5
Vanderbilt,Kentucky,-3
Butler,Marquette,1
UCF,South Florida,3
Tennessee,South Carolina,10
VMI,UNC Greensboro,-3
USC,Arizona St.,12
Northern Iowa,Drake,-8
East Tennessee St.,Mercer,5
Maryland,Nebraska,10
Seton Hall,DePaul,11
Southern Illinois,Missouri St.,-7
Radford,Gardner Webb,3
Quinnipiac,Iona,-1
Mount St. Mary's,Wagner,1
Fairleigh Dickinson,St. Francis NY,4
Kansas St.,Kansas,-13
New Mexico,Wyoming,-4
Holy Cross,Boston University,-2
Central Connecticut,Sacred Heart,-1
Indiana St.,Evansville,8
Wofford,The Citadel,9
North Carolina,Northeastern,13
Chattanooga,Western Carolina,8
Lamar,Sam Houston St.,-10
Furman,Samford,15
Loyola Chicago,Valparaiso,21
