home,away,predict_kp
Oklahoma St.,Texas Tech,-1
Duke,Syracuse,4
USC,Oregon,6
Saint Mary's,Pepperdine,6
Furman,VMI,8
Arkansas St.,Texas St.,-3
Southern Illinois,Valparaiso,1
Southeast Missouri St.,Eastern Kentucky,-3
Louisiana,UT Arlington,5
Louisiana Monroe,Little Rock,-2
Western Carolina,UNC Greensboro,-8
Mercer,The Citadel,8
Texas A&M Corpus Chris,Southeastern Louisiana,1
Air Force,New Mexico,-1
Northwestern St.,Houston Baptist,4
New Orleans,Central Arkansas,4
Alcorn St.,Alabama A&M,2
Elon,William & Mary,4
USC Upstate,Gardner Webb,-6
Jackson St.,Grambling St.,5
Presbyterian,Charleston Southern,4
SIU Edwardsville,Morehead St.,-9
Drake,Evansville,15
Lamar,Sam Houston St.,-10
Southern,Alabama St.,11
Liberty,North Alabama,15
