home,away,predict_kp
Auburn,Missouri,-1
Texas,Oklahoma,6
Pittsburgh,North Carolina,-1
Memphis,SMU,2
Duke,Georgia Tech,5
Alabama,Kentucky,9
Missouri St.,Drake,-4
Texas A&M,LSU,-6
Saint Louis,Dayton,8
Connecticut,Butler,8
Temple,Tulsa,-3
Tennessee,Mississippi St.,9
Miami OH,Toledo,-5
Saint Joseph's,Richmond,-10
Indiana St.,Southern Illinois,5
St. Francis PA,Fairleigh Dickinson,6
Tennessee Martin,Southeast Missouri St.,-3
LIU,Merrimack,7
Eastern Illinois,SIU Edwardsville,7
Akron,Eastern Michigan,11
Buffalo,Central Michigan,13
Ohio,Western Michigan,11
