home,away,predict_kp
Oklahoma St.,Oklahoma,2
Syracuse,North Carolina,-1
Oregon,Arizona,2
Nebraska,Rutgers,-7
Arizona St.,Washington St.,2
St. Bonaventure,Dayton,8
Saint Louis,Massachusetts,9
Campbell,Gardner Webb,-1
UNC Asheville,Longwood,4
Marist,Quinnipiac,3
Incarnate Word,New Orleans,-2
Virginia,Miami FL,15
Lamar,Texas A&M Corpus Chris,6
Alabama A&M,Texas Southern,-7
Richmond,Saint Joseph's,15
Central Arkansas,Stephen F. Austin,-10
Radford,Hampton,8
Nicholls St.,Northwestern St.,9
Houston Baptist,Sam Houston St.,-10
Alabama St.,Prairie View A&M,-11
Winthrop,High Point,15
Jackson St.,Arkansas Pine Bluff,11
Western Kentucky,FIU,17
Colorado St.,Air Force,21
Mississippi Valley St.,Grambling St.,-19
