home,away,predict_kp
LSU,Arkansas,3
Texas,Texas Tech,4
Florida St.,N.C. State,4
Georgia,Auburn,1
Wichita St.,Tulsa,1
Ohio St.,Northwestern,8
Massachusetts,Rhode Island,-2
Georgetown,DePaul,1
Wake Forest,Louisville,-8
Dayton,Duquesne,5
Mississippi St.,Texas A&M,6
Virginia,Notre Dame,10
Chattanooga,Mercer,1
George Mason,La Salle,2
Wyoming,Boise St.,-9
VMI,Wofford,-4
George Washington,VCU,-10
Dixie St.,New Mexico,-1
Northwestern St.,Nicholls St.,-4
Incarnate Word,McNeese St.,-1
Fordham,St. Bonaventure,-10
Stephen F. Austin,Central Arkansas,7
Southeastern Louisiana,Texas A&M Corpus Chris,-1
Sam Houston St.,Lamar,7
The Citadel,Furman,-15
